Measure,PID,use,valdays,valwkdays,valwkend,allMeanWakeWear,allMeanSleepNW,allmean_mv_EV,allmean_cntmv_EV,allmean_v_EV,allmean_cntv_EV,allmean_m_EV,allmean_cntm_EV,allmean_l_EV,allmean_cntl_EV,allmean_s_EV,allmean_cnts_EV,allMeanActCounts,allMeanIntenPerMin,WKDAYMeanWakeWear,WKDAYMeanSleepNW,WKDAYmean_mv_EV,WKDAYmean_cntmv_EV,WKDAYmean_v_EV,WKDAYmean_cntv_EV,WKDAYmean_m_EV,WKDAYmean_cntm_EV,WKDAYmean_l_EV,WKDAYmean_cntl_EV,WKDAYmean_s_EV,WKDAYmean_cnts_EV,WKDAYMeanActCounts,WKDAYMeanIntenPerMin,WKENDMeanWakeWear,WKENDMeanSleepNW,WKENDmean_mv_EV,WKENDmean_cntmv_EV,WKENDmean_v_EV,WKENDmean_cntv_EV,WKENDmean_m_EV,WKENDmean_cntm_EV,WKENDmean_l_EV,WKENDmean_cntl_EV,WKENDmean_s_EV,WKENDmean_cnts_EV,WKENDMeanActCounts,WKENDMeanIntenPerMin,SUNMeanWakeWear,SUNMeanSleepNW,SUNmean_mv_EV,SUNmean_cntmv_EV,SUNmean_v_EV,SUNmean_cntv_EV,SUNmean_m_EV,SUNmean_cntm_EV,SUNmean_l_EV,SUNmean_cntl_EV,SUNmean_s_EV,SUNmean_cnts_EV,SUNMeanActCounts,SUNMeanIntenPerMin
1,1111,A,7,5,2,915.5714286,524.4285714,49.21428571,191312.1429,21.10714286,105920.7143,28.10714286,85391.42857,279.2857143,203676,587.0714286,4234.571429,399222.7143,436.0366672,949.8,490.2,61.6,243971,28.3,141976.2,33.3,101994.8,281.4,208438.4,606.8,4169.2,456578.6,480.7102548,830,610,18.25,59665,3.125,15782,15.125,43883,274,191770,537.75,4398,255833,308.2325301,824,616,19.5,64363,3.25,16329,16.25,48034,249.75,177389,554.75,4405,246157,298.7342233
1,1112,A,7,5,2,916.1428571,523.8571429,76.57142857,243049,9.535714286,44144.28571,67.03571429,198904.7143,351.25,274057.2857,488.3214286,5719.428571,522825.7143,570.6814283,920.4,519.6,84.85,269564.6,10.5,48768,74.35,220796.6,360.7,280564.4,474.85,5961.8,556090.8,604.1838331,905.5,534.5,55.875,176760,7.125,32585,48.75,144175,327.625,257789.5,522,5113.5,439663,485.5472115,901,539,78.75,255137,12.5,57435,66.25,197702,364.25,289531,458,5362,550030,610.4661487
1,1113,A,7,5,2,890.5714286,549.4285714,49.96428571,173256.5714,10.39285714,56205.71429,39.57142857,117050.8571,329.75,245974.8571,510.8571429,4961.857143,424193.2857,476.3158486,916.4,523.6,49.35,173719.8,10.65,58546.8,38.7,115173,341.05,245412.8,526,5480.4,424613,463.3489742,826,614,51.5,172098.5,9.75,50353,41.75,121745.5,301.5,247380,473,3665.5,423144,512.2808717,826,614,31.75,105583,4.75,25621,27,79962,341.25,269539,453,3793,378915,458.7348668
1,1114,A,7,5,2,964.5714286,475.4285714,55.85714286,195586.1429,12.64285714,67635.71429,43.21428571,127950.4286,292.7857143,235190.4286,615.9285714,5106.142857,435882.7143,451.8926244,1003.6,436.4,56.05,187563,10.95,55055.4,45.1,132507.6,298.65,242203.4,648.9,5456.8,435223.2,433.6620167,867,573,55.375,215644,16.875,99086.5,38.5,116557.5,278.125,217658,533.5,4229.5,437531.5,504.6499423,801,639,51,182109,13,66815,38,115294,266.5,211592,483.5,3946,397647,496.4382022
1,1115,A,7,5,2,874.2857143,565.7142857,82.35714286,304109.5714,25.14285714,129937.4286,57.21428571,174172.1429,288.9285714,215168.1429,503,4743.714286,524021.4286,599.370915,890.8,549.2,81.65,304165.8,26.05,133254.4,55.6,170911.4,272.15,202792.6,537,4678.2,511636.6,574.3563089,833,607,84.125,303969,22.875,121645,61.25,182324,330.875,246107,418,4907.5,554983.5,666.2466987,801,639,79,286054,23.75,124856,55.25,161198,349,266841,373,4522,557417,695.9013733
1,1116,A,7,5,2,903.5714286,536.4285714,49.28571429,172808.4286,12.17857143,62945,37.10714286,109863.4286,328.3928571,238790.7143,525.8928571,5926.857143,417526,462.0841107,926.8,513.2,56.15,196499.4,13.65,70341.8,42.5,126157.6,338.65,256253.2,532,5865.6,458618.2,494.8405265,845.5,594.5,32.125,113581,8.5,44453,23.625,69128,302.75,195134.5,510.625,6080,314795.5,372.3187463,857,583,17,54598,3,15155,14,39443,261,160914,579,6247,221759,258.7619603
1,1117,A,7,5,2,963.8571429,476.1428571,68.96428571,239679.7143,15.32142857,79705.14286,53.64285714,159974.5714,380.8571429,287404.1429,514.0357143,6817.571429,533901.4286,553.921743,995.4,444.6,78.2,274174,17.95,93642.8,60.25,180531.2,387,293297.8,530.2,6807.4,574279.2,576.9330922,885,555,45.875,153444,8.75,44861,37.125,108583,365.5,272670,473.625,6843,432957,489.2169492,898,542,48.75,159698,8,41713,40.75,117985,404,298153,445.25,7338,465189,518.0278396
1,1118,A,7,5,2,912.4285714,527.5714286,42.92857143,154829.2857,9.642857143,59061.57143,33.28571429,95767.71429,335.75,236435.5714,533.75,5334.428571,396599.2857,434.6633787,930,510,46,162636.8,10.55,59937.4,35.45,102699.4,347.4,248590.6,536.6,5472.4,416699.8,448.0643011,868.5,571.5,35.25,135310.5,7.375,56872,27.875,78438.5,306.625,206048,526.625,4989.5,346348,398.7887162,821,619,28.75,121453,5.25,58304,23.5,63149,290.25,193642,502,4759,319854,389.590743
1,1119,A,7,5,2,877,563,58.03571429,190692.8571,9.392857143,43981.42857,48.64285714,146711.4286,279.75,219760.1429,539.2142857,4242.571429,414695.5714,472.85698,875.2,564.8,56.85,188939.6,10.2,47836.6,46.65,141103,283.75,220517,534.6,4224.8,413681.4,472.6707038,881.5,558.5,61,195076,7.375,34343.5,53.625,160732.5,269.75,217868,550.75,4287,417231,473.319342,828,612,49.5,152972,4,18872,45.5,134100,269,219303,509.5,4257,376532,454.7487923
1,1120,A,7,5,2,964.7142857,475.2857143,104.8571429,407748.4286,43,213150.1429,61.85714286,194598.2857,249.0714286,193210.5714,610.7857143,4057.571429,605016.5714,627.1458611,1026.6,413.4,117.7,465512.2,52.25,258852.2,65.45,206660,265.15,206379.4,643.75,4387.2,676278.8,658.7558932,810,630,72.75,263339,19.875,98895,52.875,164444,208.875,160288.5,528.375,3233.5,426861,526.9888889,737,703,51.5,192332,17,86139,34.5,106193,220.75,170465,464.75,3245,366042,496.6648575
1,1121,A,7,5,2,943,497,59.17857143,197743.8571,11.75,56872.14286,47.42857143,140871.7143,367.5,282182.2857,516.3214286,5455,485381.1429,514.7201939,977.2,462.8,61.5,204008.2,11.1,53663,50.4,150345.2,373.35,286200.8,542.35,5789.4,495998.4,507.5710192,857.5,582.5,53.375,182083,13.375,64895,40,117188,352.875,272136,451.25,4619,458838,535.0880466,814,626,53.75,182557,13.5,62930,40.25,119627,292,215546,468.25,4711,402814,494.8574939
1,1122,A,7,5,2,938.7142857,501.2857143,58.78571429,174570.5714,2.857142857,13104.71429,55.92857143,161465.8571,336.2142857,242390.7143,543.7142857,6381.285714,423342.5714,450.9812814,933.2,506.8,53.05,157004.6,2.55,11833.4,50.5,145171.2,329.05,229395,551.1,6810.4,393210,421.3566224,952.5,487.5,73.125,218485.5,3.625,16283,69.5,202202.5,354.125,274880,525.25,5308.5,498674,523.5422572,977,463,60,176009,2,9091,58,166918,379.75,300174,537.25,5411,481594,492.9314227
1,1123,A,7,5,2,922.1428571,517.8571429,24,80212.57143,5.107142857,25225.42857,18.89285714,54987.14286,258.6428571,159660,639.5,5338.571429,245211.1429,265.9144849,977,463,23.65,79232.2,5.3,26044,18.35,53188.2,259.6,159542.2,693.75,5615.4,244389.8,250.1430911,785,655,24.875,82663.5,4.625,23179,20.25,59484.5,256.25,159954.5,503.875,4646.5,247264.5,314.9866242,785,655,32.5,111639,7.75,39126,24.75,72513,276.25,181994,476.25,4588,298221,379.8993631
1,1124,A,7,5,2,944,496,57.5,198662.8571,13.57142857,68547.57143,43.92857143,130115.2857,345.1071429,267763.5714,541.3928571,5047.714286,471474.1429,499.4429479,972.8,467.2,55.95,196428.4,14.6,73461.8,41.35,122966.6,330.15,253461.4,586.7,5317.4,455207.2,467.9350329,872,568,61.375,204249,11,56262,50.375,147987,382.5,303519,428.125,4373.5,512141.5,587.3182339,893,547,59.5,196808,10.75,53921,48.75,142887,390.75,303708,442.75,4625,505141,565.6674132
1,1125,A,6,5,1,862.3333333,577.6666667,36.04166667,121970.5,7.125,35524.16667,28.91666667,86446.33333,299.625,209204.8333,526.6666667,4566,335741.3333,389.3405489,895.2,544.8,39,133107.6,8.1,40587.4,30.9,92520.2,300.1,212221.8,556.1,4700,350029.4,391.0069258,698,742,21.25,66285,2.25,10208,19,56077,297.25,194120,379.5,3896,264301,378.6547278,698,742,21.25,66285,2.25,10208,19,56077,297.25,194120,379.5,3896,264301,378.6547278
1,1126,A,7,5,2,956.1428571,483.8571429,84.25,312680.4286,23.53571429,130896.8571,60.71428571,181783.5714,433.1785714,328177,438.7142857,6390.285714,647247.7143,676.936202,964.8,475.2,89.35,342540.2,27.55,156344.2,61.8,186196,432.7,320377.4,442.75,6622.4,669540,693.9676617,934.5,505.5,71.5,238031,13.5,67278.5,58,170752.5,434.375,347676,428.625,5810,591517,632.976993,873,567,99.5,337449,20.75,103198,78.75,234251,430,370207,343.5,5169,712825,816.5234822
1,1128,A,7,5,2,956.2857143,483.7142857,38.89285714,130477.7143,7.642857143,39089.57143,31.25,91388.14286,371.2857143,270253.8571,546.1071429,5600.428571,406332,424.9064834,970.6,469.4,39.05,132037.8,8.5,42916,30.55,89121.8,379.3,275264,552.25,5693,412994.8,425.5046363,920.5,519.5,38.5,126577.5,5.5,29523.5,33,97054,351.25,257728.5,530.75,5369,389675,423.3297121,846,594,35.25,115226,5.75,28369,29.5,86857,308,221301,502.75,5272,341799,404.0177305
1,1129,A,6,5,1,893.3333333,546.6666667,53.95833333,181774,9.875,49818,44.08333333,131956,289.9583333,218056,549.4166667,4582.333333,404412.3333,452.7003731,942.4,497.6,53.7,179772.6,8.8,45428.6,44.9,134344,299.25,225464.8,589.45,4808.8,410046.2,435.1084465,648,792,55.25,191781,15.25,71765,40,120016,243.5,181012,349.25,3450,376243,580.6219136,648,792,55.25,191781,15.25,71765,40,120016,243.5,181012,349.25,3450,376243,580.6219136
